# Abbreviations:
# ====================
S:Gen: kenenkään (kunkaan)
S:Par: ketään (kutakaan)
S:Ine: kenessäkään (kussakaan)
S:Ela: kenestäkään (kustakaan)
S:Ill: keneenkään kehenkään (kuhunkaan)
S:Ade: kenelläkään kelläkään kellään (kullakaan)
S:Abl: keneltäkään keltäkään keltään (kultakaan)
S:All: kenellekään kellekään (kullekaan)
S:Ess: kenenäkään (kunakaan)
S:Tra: keneksikään (kuksikaan)

P:Nom: ketkään (kutkaan)
P:Gen: keidenkään keittenkään (kuidenkaan) (kuittenkaan)
P:Par: keitäkään (kuitakaan)
P:Ine: keissäkään (kuissakaan)
P:Ela: keistäkään (kuistakaan)
P:Ill: keihinkään (kuihinkaan)
P:Ade: keilläkään keillään (kuillakaan)
P:Abl: keiltäkään (kuiltakaan)
P:All: keillekään (kuillekaan)
P:Ess: keinäkään (kuinakaan)
P:Tra: keiksikään (kuiksikaan)

<mikään>
S:Nom: mikään
S:Gen: minkään
S:Par: mitään mitäkään
S:Ine: missään missäkään
S:Ela: mistään mistäkään
S:Ill: mihinkään
S:Ade: millään milläkään
S:Abl: miltään miltäkään
S:All: millekään
S:Ess: minään minäkään
S:Tra: miksikään

P:Nom: mitkään
P:Gen: minkään
P:Par: mitään mitäkään
P:Ine: missään missäkään
P:Ela: mistään mistäkään
P:Ill: mihinkään
P:Ade: millään milläkään
P:Abl: miltään miltäkään
P:All: millekään
P:Ess: minään minäkään
P:Tra: miksikään

#Remaining forms
================

<jokin>
S:Nom: jokin
S:Gen: jonkin
S:Par: jotakin jotain
S:Akk: jokin jonkin
S:Ine: jossakin jossain
S:Ela: jostakin jostain
S:Ill: johonkin
S:Ade: jollakin jollain
S:Abl: joltakin joltain
S:All: jollekin
S:Ess: jonakin jonain
S:Tra: joksikin
S:Abe: jottakin

P:Nom: jotkin
P:Gen: joittenkin joidenkin
P:Par: joitakin joitain
P:Akk: jotkin
P:Ine: joissakin joissain
P:Ela: joistakin joistain
P:Ill: joihinkin
P:Ade: joillakin joillain
P:Abl: joiltakin joiltain
P:All: joillekin
P:Ess: joinakin joinain
P:Tra: joiksikin
P:Ins: joittakin
P:Abe: joinkin

<joku>
S:Nom: joku
S:Gen: jonkun
S:Par: jotakuta
S:Akk: joku jonkun
S:Ine: jossakussa
S:Ela: jostakusta
S:Ill: johonkuhun
S:Ade: jollakulla
S:Abl: joltakulta
S:All: jollekulle
S:Ess: jonakuna
S:Tra: joksikuksi

P:Nom: jotkut
P:Gen: joidenkuiden joittenkuitten
P:Par: joitakuita
P:Akk: jotkut
P:Ine: joissakuissa
P:Ela: joissakuista
P:Ill: joihinkuihin
P:Ade: joillakuilla
P:Abl: joiltakuilta
P:All: joillekuille
P:Ess: joinakuina
P:Tra: joiksikuiksi
P:Abe: joinkuin
P:Kom: joinekuine

<kukin>
S:Nom: kukin
S:Gen: kunkin
S:Par: kutakin
S:Akk: kukin kunkin
S:Ine: kussakin
S:Ela: kustakin
S:Ill: kuhunkin
S:Ade: kullakin
S:Abl: kultakin
S:All: kullekin
S:Ess: kunakin
S:Tra: kuksikin
S:Abe: (kuttakin)

P:Nom: kutkin
P:Gen: kuidenkin kuittenkin
P:Par: kuitakin
P:Akk: kutkin
P:Ine: kuissakin
P:Ela: kuistakin
P:Ill: kuihinkin
P:Ade: kuillakin
P:Abl: kuiltakin
P:All: kuillekin
P:Ess: kuinakin
P:Tra: kuiksikin
P:Ins: kuinkin
P:Abe: (kuittakin)

<muuan>
S:Nom: muuan
S:Gen: muutaman
S:Par: muuatta muutamaa
S:Akk: muuan muutaman
S:Ine: muutamassa
S:Ela: muutamasta
S:Ill: muutamaan
S:Ade: muutamalla
S:Abl: muutamalta
S:All: muutamalle
S:Ess: muutamana (muuanna)
S:Tra: muutamaksi
S:Abe: muutamatta

P:Nom: muutamat
P:Gen: muutamien muutamain
P:Par: muutamia
P:Akk: muutamat
P:Ine: muutamissa
P:Ela: muutamista
P:Ill: muutamiin
P:Ade: muutamilla
P:Abl: muutamilta
P:All: muutamille
P:Ess: muutamina
P:Tra: muutamiksi
P:Ins: muutamin
P:Abe: muutamitta
P:Kom: muutamine
